Quadratic Probing collisions: 
0,0,3,3,4,10,15,21,23,31,37,53,65,78,89,102,117,126,135,153,174,190,212,236,262,292,315,349,377,408,426,462,488,515,536,564,602,624,653,703,730,776,820,853,895,944,987,1010,1038,1076,1108,1145,1200,1231,1265,1312,1345,1400,1449,1490,1532,1564,1618,1669,1726,1765,1799,1844,1881,1917,1946,1980,2024,2071,2107,2150,2173,2212,2236,2278,2326,2369,2422,2469,2523,2571,2614,2662,2703,2743,2782,2827,2877,2931,2967,3015,3038,3084,3125,3148,3198,3241,3294,3336,3384,3430,3477,3505,3544,3563,3599,3638,3686,3733,3773,3808,3849,3881,3914,3967,3995,4020,4059,4110,4150,4181,4215,4258,4314,4363,4416,4471,4514,4550,4584,4637,4676,4724,4776,4818,4859,4889,4916,4943,4984,5021,5055,5080,5110,5147,5177,5216,5277,5300,5348,5392,5426,5466,5502,5557,5589,5644,5682,5716,5755,5798,5858,5908,5970,6031,6075,6118,6175,6213,6265,6323,6388,6455,6528,6593,6670,6739,6816,6888,6956,7015,7105,7171,7248,7326,7408,7522,7605,7717,7821,7895,7994,8113,8246,8358,8483,8607,8741,8883,8993,9141,9306,9448,9639,9791,9968,10148,10345,10523,10723,10933,11124,11347,11562,11821,12080,12299,12585,12828,13073,13417,13671,13919,14311,14643,15021,15385,15699,16012,16359,16767,17177,17620,18052,18539,19202,19616,20119,20588,21042,21612,22186,22884,23324,24021,24745,25302,25784,26291,26901,27560,28533,29136,30022,30850,31764,32653,33717,34818,35571,36366,37191,38226,39124,39872,40815,41778,42637,43637,44695,45606,46910,48072,49091,50104,51365,52159,53313,54349,55074,56043,57045,58006,58938,59790,60678,61452,62368,63203,64051,65019,66007,66912,67639,68590,69425,70240,71070,72110,72933,73722,74814,75887,76695,77424,78035,78953,79844,80706,81658,82435,83070,83632,84407,85278,86193,86983,88033,88857,89668,90542,91600,92358,93353,94247,95001,95999,96700,97501,98435,99688,100571,101518,102427,103516,104308,105442,106340,107201,108062,109028,110034,110745,111652,112465,113161,114077,115001,115770,116510,117490,118326,119426,120114,120888,121659,122323,123101,123834,124540,125436,126305,126938,127664,128413,129107,129870,130573,131464,132294,133248,134014,134931,135961,137036,138083,138982,140317,141731,143286,144823,146379,147903,149599,150999,152730,154588,156602,158982,161831,165152,170855,178875,191980,220806,
Insert Quadratic Probing Times
2.08e-06,1.35e-06,1.26e-06,1.24e-06,3.412e-05,3.429e-05,1.855e-05,2.23e-06,1.39e-06,5.42e-06,1.34e-06,1.398e-05,1.28e-06,1.24e-06,1.26e-06,2.566e-05,3.302e-05,2.45e-06,2.62e-06,2.586e-05,1.34e-06,1.28e-06,1.27e-06,2.568e-05,1.33e-06,1.26e-06,1.3e-06,2.562e-05,5.52e-06,3.13e-06,2.637e-05,1.31e-06,1.33e-06,1.3e-06,2.464e-05,1.3e-06,1.31e-06,1.27e-06,2.544e-05,1.33e-06,1.32e-06,1.76e-06,4.46e-05,2.67e-06,4.34e-06,2.74e-06,1.326e-05,1.31e-06,1.29e-06,1.23e-06,2.814e-05,5.79e-06,6.682e-05,7.64e-06,1.181e-05,1.93e-06,1.425e-05,1.29e-06,1.33e-06,2.03e-06,1.31e-06,1.3e-06,1.21e-06,1.5e-06,1.216e-05,2.21e-06,2.43e-06,1.368e-05,1.82e-06,9.06e-06,2.24e-06,2.1e-06,2.008e-05,7.686e-05,2.27e-06,2.39e-06,2.322e-05,2.547e-05,2.59e-06,3.759e-05,2.3e-06,2.12e-06,2.41e-06,2.86e-06,2.28e-06,2.589e-05,4.541e-05,1.519e-05,2.34e-06,2.09e-06,2.661e-05,7.49e-06,3.22e-06,2.566e-05,6.78e-06,2.2e-06,1.92e-06,3.228e-05,1.935e-05,2.11e-06,6.34e-06,9.85e-06,1.138e-05,7.824e-05,1.392e-05,2.613e-05,1.55e-06,1.36e-06,3.04e-06,1.34e-06,1.38e-06,1.25e-06,1.26e-06,3.878e-05,3.96e-06,1.021e-05,4.49e-06,1.684e-05,2.7e-06,2.161e-05,1.39e-06,1.25e-06,1.23e-06,2.297e-05,1.31e-06,1.3e-06,1.23e-06,2.037e-05,1.969e-05,2.81e-06,2.39e-06,1.687e-05,2.07e-06,1.49e-06,1.86e-06,1.29e-06,1.28e-06,1.29e-06,1.35e-06,1.31e-06,1.35e-06,1.31e-06,2.045e-05,1.27e-06,1.31e-06,1.28e-06,3.748e-05,6.54e-06,2.21e-06,2.88e-06,1.352e-05,1.27e-06,2.18e-06,1.32e-06,1.36e-06,1.31e-06,1.3e-06,2.234e-05,1.32e-06,1.26e-06,1.5e-06,1.985e-05,3.202e-05,2.16e-06,2.97e-06,2.7e-06,2.62e-06,1.654e-05,1.39e-06,1.29e-06,1.29e-06,1.27e-06,1.31e-06,1.33e-06,1.26e-06,1.26e-06,1.38e-06,1.27e-06,2.237e-05,8.51e-06,4e-06,3.18e-06,2.61e-06,1.36e-06,1.35e-06,1.32e-06,2.21e-06,1.3e-06,1.37e-06,2.62e-06,1.808e-05,1.35e-06,1.28e-06,1.27e-06,3.825e-05,8.34e-06,3.2e-06,2.64e-06,1.378e-05,4.42e-06,1.628e-05,1.39e-06,1.3e-06,1.3e-06,2.428e-05,1.25e-06,1.37e-06,1.32e-06,2.02e-05,1.23e-06,1.34e-06,1.32e-06,3.991e-05,9.17e-06,1.048e-05,2.55e-06,1.319e-05,1.4e-06,1.31e-06,1.25e-06,1.53e-06,1.29e-06,1.37e-06,2.243e-05,1.35e-06,1.35e-06,1.24e-06,1.956e-05,6.1e-06,1.508e-05,6.65e-06,5.11e-06,1.101e-05,1.92e-06,1.92e-06,1.53e-06,2.06e-06,4.74e-06,1.39e-06,1.87e-06,1.88e-06,2.959e-05,1.93e-06,2.72e-05,2.91e-06,1.424e-05,1.54e-06,1.72e-06,1.628e-05,1.76e-06,1.81e-06,2.029e-05,1.68e-06,1.49e-06,1.777e-05,2.4e-06,1.002e-05,4.19e-06,1.52e-05,2e-06,2.36e-06,1.486e-05,1.7e-06,1.88e-06,1.562e-05,2.18e-06,2.03e-06,2.105e-05,1.25e-05,2.58e-06,4.2e-06,1.131e-05,3.01e-06,1.85e-06,1.5e-06,2.32e-06,1.575e-05,1.85e-06,2.19e-06,1.522e-05,1.47e-06,1.98e-06,2.079e-05,5.02e-06,1.97e-06,5.82e-06,9.98e-06,2.47e-06,1.82e-06,1.85e-06,2.09e-06,1.467e-05,1.45e-06,2.62e-06,1.479e-05,1.8e-06,1.57e-06,2.126e-05,5.05e-06,1.87e-06,1.9e-05,1.186e-05,1.99e-06,1.9e-06,1.92e-06,1.9e-06,1.544e-05,1.9e-06,1.82e-06,1.798e-05,2.38e-06,4.89e-06,2.201e-05,1.34e-06,1.37e-06,1.78e-05,1.36e-06,1.8e-06,1.654e-05,4.62e-06,1.75e-06,1.92e-06,1.951e-05,3.135e-05,4.19e-06,1.59e-06,1.97e-06,1.89e-06,1.46e-06,2.12e-06,1.76e-06,1.86e-06,2.23e-06,1.56e-06,2.971e-05,1.396e-05,1.93e-06,3.81e-06,1.504e-05,2.14e-06,2.17e-06,1.41e-06,3.33e-06,2.66e-06,1.54e-06,1.81e-06,2.3e-06,1.241e-05,2.7e-06,1.321e-05,1.81e-06,1.91e-06,2.05e-06,1.766e-05,3.3e-06,8.5e-06,2.2e-06,1.76e-06,2.023e-05,1.563e-05,9.43e-06,1.69e-06,1.137e-05,2.08e-06,1.87e-06,1.382e-05,2.21e-06,1.67e-06,1.53e-06,1.14e-05,1.48e-06,2.57e-06,8.81e-06,2.952e-05,1.52e-06,2.05e-06,1.99e-06,3.15e-06,1.092e-05,2.16e-06,2.09e-06,1.27e-05,2.557e-05,1.069e-05,1.729e-05,9.73e-06,1.83e-06,2e-06,1.392e-05,2.14e-06,1.97e-06,1.55e-06,2.55e-06,5.552e-05,1.94e-06,2.2e-06,1.645e-05,9.99e-06,5.73e-06,2.038e-05,
Search Quadratic Probing Times
2.59e-06,1.21e-06,1.17e-06,1.18e-06,1.569e-05,1.337e-05,3.05e-06,1.4e-06,1.408e-05,1.55e-06,1.25e-06,1.22e-06,1.21e-06,1.16e-06,1.17e-06,1.81e-05,2.54e-06,2.51e-06,3.48e-06,1.36e-06,1.2e-06,1.22e-06,1.2e-06,1.25e-06,1.27e-06,1.2e-06,1.18e-06,3.817e-05,1.97e-06,6.91e-06,1.34e-06,1.31e-06,1.25e-06,1.19e-06,1.29e-06,1.27e-06,1.23e-06,1.22e-06,1.25e-06,1.28e-06,1.28e-06,1.762e-05,6.62e-06,1.072e-05,1.68e-06,2.43e-06,1.4e-06,1.27e-06,1.23e-06,1.21e-06,1.32e-06,3.77e-06,1.054e-05,2.25e-06,1.76e-06,1.95e-06,1.37e-06,5.68e-06,1.223e-05,1.36e-06,1.29e-06,1.29e-06,2.388e-05,2.99e-05,1.236e-05,2.65e-06,2.35e-06,1.75e-06,1.71e-06,3.233e-05,2.36e-06,1.9e-06,2.358e-05,4.1e-06,1.89e-06,1.76e-06,1.73e-06,6.39e-06,8.47e-06,6.035e-05,2.28e-06,1.58e-06,2.562e-05,2.06e-06,2.44e-06,2.547e-05,1.721e-05,1.45e-06,2e-06,1.66e-06,2.69e-06,1.891e-05,4.01e-05,1.578e-05,1.69e-06,1.92e-06,2.11e-06,5.13e-06,2.75e-06,3.389e-05,1.447e-05,3.55e-06,4.824e-05,2.524e-05,7.73e-06,1.35e-06,1.5e-06,1.33e-06,1.704e-05,1.35e-06,1.32e-06,1.31e-06,1.2e-06,7.6e-06,4.57e-06,2.11e-06,2.42e-06,1.94e-06,2.01e-06,1.96e-06,1.32e-06,1.34e-06,1.29e-06,1.31e-06,1.3e-06,1.28e-06,1.36e-06,1.38e-06,1.463e-05,1.72e-06,4.78e-06,2.51e-06,2.36e-06,1.741e-05,1.38e-06,1.33e-06,1.29e-06,2.34e-05,1.35e-06,1.3e-06,1.29e-06,1.19e-06,1.32e-06,1.32e-06,1.33e-06,1.27e-06,8.3e-06,9.17e-06,3.31e-06,2.16e-06,1.41e-06,1.6e-06,1.32e-06,1.773e-05,1.99e-06,1.29e-06,1.3e-06,1.34e-06,1.29e-06,1.28e-06,1.38e-06,1.4e-06,2.45e-06,1.51e-06,1.572e-05,2.01e-06,3.53e-06,2.13e-06,1.34e-06,1.31e-06,2.179e-05,1.94e-06,1.33e-06,1.36e-06,1.91e-05,2.01e-06,1.32e-06,1.28e-06,1.907e-05,3.71e-06,9.71e-06,3.28e-06,1.18e-05,1.41e-06,1.3e-06,1.58e-06,2.308e-05,1.32e-06,1.38e-06,1.32e-06,1.29e-06,1.34e-06,1.28e-06,1.26e-06,7.8e-06,7.24e-06,2.35e-06,1.77e-06,2.35e-06,1.99e-06,1.3e-06,1.31e-06,1.29e-06,1.34e-06,1.28e-06,1.32e-06,1.34e-06,1.34e-06,1.28e-06,1.38e-06,1.36e-06,1.84e-06,8.23e-06,1.92e-06,2.33e-06,1.92e-06,1.5e-06,1.38e-06,1.31e-06,2.08e-05,2.01e-06,1.33e-06,1.3e-06,1.29e-06,1.3e-06,1.32e-06,1.33e-06,2.062e-05,5.44e-06,3.09e-06,1.111e-05,3.08e-06,2.16e-06,2.03e-06,1.418e-05,1.61e-06,2.29e-06,1.975e-05,1.95e-06,1.94e-06,1.539e-05,5.13e-06,1.77e-06,2e-06,3.11e-06,1.55e-06,2.04e-06,2.05e-06,1.88e-06,1.67e-06,1.81e-06,2.2e-06,1.75e-06,1.95e-06,2.585e-05,2.5e-06,1.53e-05,3.16e-06,1.52e-06,1.75e-06,2.09e-06,1.65e-06,1.76e-06,1.64e-06,1.95e-06,2.24e-06,1.982e-05,1.18e-05,1.98e-06,1.394e-05,2.73e-06,2.32e-06,2.11e-06,1.307e-05,1.92e-06,2.09e-06,1.55e-06,1.64e-06,2.17e-06,1.72e-06,1.68e-06,2.2e-06,2.424e-05,1.353e-05,1.82e-06,2.35e-06,2.14e-06,2.09e-06,1.405e-05,1.81e-06,2.34e-06,1.42e-06,2.04e-06,2.16e-06,1.93e-06,1.75e-06,1.68e-06,2.481e-05,1.83e-06,1.87e-06,1.75e-06,3.033e-05,1.87e-06,1.84e-05,1.81e-06,1.81e-06,1.79e-06,1.87e-06,1.84e-06,2.297e-05,3.03e-06,8.35e-06,2.28e-06,1.42e-06,1.65e-06,1.39e-06,1.58e-06,2.25e-06,4.66e-06,8.46e-06,1.84e-06,1.97e-06,2.832e-05,3.57e-06,1.379e-05,2.15e-06,1.93e-06,1.519e-05,1.9e-06,2.13e-06,1.902e-05,1.87e-06,1.81e-06,1.62e-05,9.14e-06,1.286e-05,2.04e-06,8.2e-06,2.3e-06,2.25e-06,1.31e-05,2.24e-06,2.34e-06,1.839e-05,1.78e-06,1.93e-06,4.506e-05,8e-06,1.05e-05,1.6e-06,1.001e-05,2.07e-06,1.83e-06,2.74e-06,2.27e-06,2.35e-06,2.1e-06,1.672e-05,6.47e-06,9.85e-06,5.34e-06,2.05e-06,2.53e-06,2.07e-06,1.72e-06,2.08e-06,2.43e-06,1.81e-05,6.75e-06,2.34e-06,2.25e-06,3.334e-05,1.53e-05,6.67e-06,2.02e-06,2.15e-06,1.946e-05,2.86e-06,2.11e-06,2.38e-06,1.69e-06,1.97e-06,3.643e-05,5.66e-06,2.29e-06,1.5e-06,2.15e-06,7.25e-06,1.87e-06,2.63e-06,1.406e-05,2.3e-06,3e-05,8.24e-06,1.82e-06,5.92e-06,3.47e-06,1.9e-06,1.73e-06,2.127e-05,
